1020					1020,
IRAInvestment				Vgi-Tgtret2045,VGI-TGTRET2045,VGI-TTL_IX_INV,
IRS					IRS,
IdolGivesBack				Idol_Gives_Back_Eif_800-2463469_Ca,
IlTollway				IlTollway
IllinoisBarAndGrill			ILLINOIS_BAR_&_GRILL,
IllinoisDMV				IllinoisDMV
IllinoisHealthAndHumanServices		IllinoisHealthAndHumanServices
IllinoisSecOfState			ILSECOFSTATE,IL_WEB_PLATE_RENEWAL,SOS_INTERNET_VEHICLE,
IllinoisTollway				IL_TOLLWAY-CALL_CTR_A,Il_Tollway-call_Ctr_A,
Illy					ILLY,
IndecorPaint				INDECOR_EPAINT_JC_LICH,
IndependentLivingAid			INDEPENDENT_LIVING_AID,
IndianHarvest				Indian_Harvest,INDIAN_HARVEST,
IndoChineVietnamese			INDOCHINE_VIETNAMESE,
IndusValley				Indus_Valley_Restauran,
IndusValleyRestaurant			INDUS_VALLEY_RESTAURAN,
InstituteofReading			INSTITUTE_OF_READING_D,
InterMarche				INTERMARCHE,
InternationalServiceFee			INT'L_SERVICE_FEE,
InternationalWines			INTERNATIONAL_WINES,International_Wines_&,International_Wines_An,
IrvingBlueCanoe				Irving_Bluecanoe,
IslipAirport				ISLID_AIRPORT,
IthacaScienceCenter			SCIENCENTER,
IvyLeagueStationary			IVY_LEAGUE,
J&RSound				J&R_SOUND/MAILORDER,
JAGroup					JAGROOP_S/S,
JCrew					J._CREW,J_CREW,J._Crew,
JFKAirport				JFK_INTERNATIO20000QPS_J,
JFKRail					JFK_TVM,
Jagdish					Online_Payment_2833934208_To_Jag,
JalapenoPaintWerx			JalapenoPaintWerx
JambaJuice				JAMBA_JUICE,Jamba_Juice,
JaredGalleriaOfJewelry			Jared_,
JasvaleMart				JASVALE_MART_INC,
JavaCity				JAVA_CITY_COFF10000QPS,
JayMart					Jay_Mart_South,
JeanAtColumbia				JeanAtColumbia
JeffEllisManagement			JEFFELLISMANAGEMENT,
JeffersonScienceAssociates		JEFFERSON_SCIENCE_ASSO,
JessaPess				JESSAPESS,
JetRoc					JetRoc
JetRock					JET_ROCK,Jet_Rock_C_Lga_Termina,Otg_Management_Jet_Roc,
JewelOsco				JEWEL,Jewel-osco,
JiffyLube				JIFFY_LUBE,Jiffy_Lube,
JimBestDOPC				JIM_BEST_DOPC,
JimmyJohns				JIMMY_JOHN,Jimmy_Johns,
Jimmys					JIMMYS_ON_THE_PARK,
JimmysGrill				JIMMY'S_GRILL,
Jockey					JOCKEY_STORE,
JoeMamas				JOE_MAMA'S,
JohnnyCarinos				JOHNNY_CARINOS,
JoseCuervo				JOSE_CUERVO_TE12200556,
Journeys				JOURNEYS,
JuscoyaGoto				JUSCOYAGOTO,
KFC					KFC,
KaboozsBar&Grill			Kaboozs_Bar_&_Grill,
KahunaBusiness				Kahuna_Busines/1225_Amste,
KateSpade				KATE_SPADE,
Kebabaluba				KEBABALUBA,
KernelGourmetPopcorn			KERNEL_GOURMET_POPCORN,
Kickstarter.com				KICKSTARTER_COM,
KidsTown				KIDS_TOWN,
Kidwoot.com				KIDWOOT.COM,
KillKullen				King_Kullen,
KimSMediapolis				Kim_S_Mediapolis,
KingsSupermarket			KINGS_SUPERMARKET,Kings_Supermarket,
KingstonAlley				KINGSTON_ALLEY,
Kohls					WWW.KOHLS.COM,KOHL'S,
Kphant					KPHANT,
KushiesBabyUsa				KUSHIES_BABY_USA_INC.,
LIPA					Lipa_Directpay,LIPA,
LIRR					LIRR_TVM,Lirr_Tvm,LIRRNY,
LLBeam					LL_BEAN,
LLNL_REGISTRATION_FEES			LLNL_REGISTRATION_FEES,
LMRestaurants				Lm_Restaurants_Cary_Nc,
LaBonneBoulangerie			LA_BONNE_BOULANGERIE,La_Bonne_Boulangerie_Port_Jefferso_Ny,La_Bonne_Boulangerie,LA_BONNE_BOULANGER,
LaBoulanger				LA_BOULANGER,
LaBrea					LA_BREA_S,
LaGuardiaAirport			LGALOT,LGALOT2/02,LGALOT5/05,LAGUARDIA_AIRP30000QPS,LAGUARDIA_AIRPORT,
LaPalapa				LA_PALAPA,
LaVazza					LAVAZZA_F28467,
LachineRapidTours			LACHINE_RAPID_TOURS_LT,
LaguardiaAirport			LaguardiaAirport
LainiesWay				LAINIE'S_WAY,
LakeTahoeFood				SV_PRESERVE_FOOD_AND_B,
LakesiteServiceCenter			LAKESITE_SVC_CTR_INQPS,
LalosMexican				LALO'S_MEXICAN,Lalo's_Mexican,
LamazeClass				LamazeClass
LandsEnd				LANDS_END_CLOTHING,LANDS_END,
LandsideFC				LANDSIDE_FC_BA10195733,
LannaThai				LANNA_THAI,
LasPalmas				LAS_PALMAS,Las_Palmas_3_Naperville_Il,Las_Palmas_3,
LastStopRestaurant			LAST_STOP_RESTAURANT,
LaughFactory				W_F_LAUGH_FACTORY,
Lavgrant				LAVGRANT,
LawrenceTKacmarMd			Lawrence_T_Kacmar_Md,
Le					Le_New_Ny,
LeBusCafe				LE_BUS_CAFE,
LeChocolatDuBouchard			LECHOCOLAT_DU_BOUCHARD,
LeMonde					LE_MONDE,Le_Monde,
LeSaintBock				LE_SAINT-BOCK,
LeapFrodCafe				Leap_Frog_Cafe41213q99,
LemonleafGrill				LEMONLEAF_GRILL,
LensCrafters				LensCrafters__10001527,LensCrafters,
LifeIsGood				LIFE_IS_GOOD,
LifeTouchSchoolPortraits		LIFETOUCH_NSS_ONLINE_P,LIFETOUCH_PHOTOGIFTS,LIFETOUCH_PRESCHOOL,
LighthouseInn				Lighthouse_Inn_Restaur,
LimitedStores				LIMITED_STORES,
LincolnSquare				Lincoln_Sq_Imx07021q02,
LisaPinto				LISA_A_PINTO_PSY_DPC,
LittleFairyWings.com			LITTLEFAIRYWINGS.COM,
LittleThaiRestaurant			LITTLE_THAI_RESTAURANT,
LivingRoomOfLaJolla			LIVING_ROOM_OF_LA_JOLL,
Loehmanns				LOEHMANN'S,
LoneStar				MC-LONE_STAR-BATT00142158,
LongwoodGardens				Longwood_Gardens_Terra,
LorisDesignerShoes			LORI'S_DESIGNER_SHOES,Lori's_Designer_Shoes,
Los					LOS_,LOS,Los,
LowEBlueBurSaltLakeCity			Low_E_Blue_Bur30552q19_Salt_Lakecity_Ut,
Lowes					LOWES,Lowes,
LubePros				Lube_Pro's,Lubepros,
LuigiStefani				LUIGI_STEFANI_PIZZERIA,
LuigisHouse				LUIGI'S_HOUSE,
LukOil					LUKOIL,
Lux					Www.skype.com_Internet_Lux,
LylasCafe				LYLAS_CAFE,Lylas_Cafe,
MDenOnCampus				M-DEN_ON_CAMPUS,
MGHParking				MGH_PARKING_YAWKEY,
MINIMUM_INTEREST_CHARGE			MINIMUM_INTEREST_CHARGE,
MTA					MTA_MVM,MTA_VENDING,Mta_Mvm,
Macys					MACY'S,MACY*S,
MadAnthonysSeattle			ANTON_MAD_ANTH32278566,
MaggieIsland				MC-MAGGIE_ISL,
MaidBrigade				MaidBrigade
MainStreetBakery			MAIN_STREET_BAKERY,
MainStreetCafe				MAIN_STREET_CAFE,
Maine					Maine,
MaizeAndBlueDelicates			MAIZE_&_BLUE_DELICATES,
MalloysFinestWines			MALLOYS_FINEST_WINE_AN,
MamaLombardis				MAMA_LOMBARDI'11453396,
MandLAutoCare				M_&_L_AUTO_CARE,
MappsCoffee				MAPPS_COFFEE,
MarathonOil				MARATHON_OIL,Marathon_Oil,MARATHON_PETRO,MARATHON_PETRO156836,
MarktOnLadiesMile			MC-MARKT_ON_LADIES'_MILE,
MarthaVandeWater			MarthaVandeWater,
MartignettiLiquors			MARTIGNETTI_LIQUORS,
Martin's				Martin's,
MartiniBar				MARTINI_BAR,
MartinsNewsShops			MARTINS_NEWS_SHOPS_-_T,
MaryBethMcLaughlin			MaryBethMcLaughlin,Online_Payment_3671486907_To_Mar,
MassBayCompany				MASS_BAY_CO.,MASS_BAY_COMPANY_INC,
MataFactorCafe				MATA_FACTOR_CAFE,
MauiBanyan				Maui_Banyan_Vacation,Maui_Banyan_Vac_Club,
MauiBanyon				MAUI_BANYAN_VAC_CLUB,
Max&Millie				MAX_&_MILLIE_INC,
MaxCaffe				Max_Caffe,
MayoraCoffee				MAYORGA_COFFEE_A_WING,
MayorgaCoffee				MAYORGA_COFFEE_CNT._CO,
McAlistersDeli				MCALISTERS_DELI,
McCormickPlace				MCCORMICK_PLAC,
McDonalds				MCDONALD'S,Mcdonald's_,
MehakCuisineInc				MEHAK_CUISINE_INC,
Meijer					MEIJER,Meijer_Inc,
MeltEmersoy				MELTEMERSOY,
Menards					MENARDS,Menards_3505,Menards_Naperville,
MesonSabika				MESON_SABIKA,Meson_Sabika,
MetroNorth				METRO-NORTH,
MexToGo					MEXTOGO,
Michaels				Michaels
MichaelsMarket				MICHAEL'S_MARKET,MICHAEL'S,MICHAELS,
MichiganStateUniversity			MICHIGAN_STATE_UNIVERS,Msu_Owen_Graduate_2193,Msu_Spartys_Dcl_2226,
MidcoastKayak				Midcoast_Kayak,
MiddleKingdomInc			MIDDLE_KINGDOM_INC,
MikesMechanics				MIKE'S_MECHANICS,Mike's_Mechanics,
MilanoMarket				MILANO_MARKET,MILANO_MARKE/MILANO_MARK,
MillKoreanRestaurant			MILL_KOREAN_RESTAURANT,
MillersPub				Millers_Pub,
MollickEtraEtra				MOLLICK_ETRA_&_ETRA_&,
MonkeyJoes				MONKEY_JOES,
MooresGourmetMarket			Moore's_Gourmet_Market,
MorningsideBO				MC-MORNINGSIDE_BO79400016,Morningside_Bo79400016,
MortonArboretum				THE_MORTON_ARBORETUM,
MortonWilliams				MORTON_WILLI,Morton_Williams,
Motel6					MOTEL_6,
Motherhood				MOTHERHOOD,
MoutainNectar				MOUNTAIN_NECTAR,
MowItAll				MowItAll
MrsFieldsCookies			MRS_FIELDS_COOKIES,
MughlaiIndian				MUGHLAI_INDIAN_CUISINE,
MuseumOfNaturalHistory			Museum_Nat_Hist_Ticket,
MuseumOfScienceBoston			MUSEUM_OF_SCIENCE_BOSTON,MUSEUM_OF_SCIENCE_BOST_B,
MysticAquarium				MYSTIC_AQUARIUM,MYSTIC_AQUARIUM_AND_IN,
NCOFinancialSystems			NCO_FACS_51/48/62,
NHGenevaAirportHotel			NH_Geneva_Airport_Hote,
NIUOutreach				NIU_OUTREACH,
NPR-Chicago				CHICAGO_PUBLIC_MEDI,
NYCParkingGarage			99_PARK_AVENUE_CORP,
NYCTaxi					Nyc-taxi,Nyc_Taxi_Med_1A21_Q_516-932-5609_Ny,Nyc_Taxi_Med_8B65_Q_516-333-7854_Ny,
NapervilleEducationFoundation		NAPERVILLE_ED_FDN,
NapervilleParkDistrict			NAPERVILLE_PARK_DISTRI,
NapervillePublicLibrary			NAPERVILLE_PUBLIC_L,
NapervilleSchoolDistrict		NapervilleSchoolDistrict
NationalExprees				NATIONAL_EXPRESS,
NationalGrid				National_Grid,NATIONAL_GRID-,
NationalMilitaryFamilyAssociation	NATIONAL_MILITARY_FAMI,
NaturalHear				NATURALHEAR,
NawabIndian				NAWAB_INDIAN_CUISINE,Nawab_Indian_Cuisine,
NayyarSons				NAYYAR_SONS,Nayyar_Sons,
Nespresso				NESPRESSO,Nespresso_,
Netflix					NETFLIX,
NewHampshireEZPass			NH_TURNPIKE_E-Z_PASS,
NewJerseyDevils				New_Jersey_Devils_Cq83,New_Jersey_Devils_Rest,
NewJerseyTransit			NJT_NY_PENN_STATION_TV,Njt_Mrrstwn_Trnstn_Tvm,Njt_Ny_Penn_Station_Tv,NJT_NWK-INT_AIRPORT_TV,
NewYorkAquarium				New_York_Aquarium,
NewYorkState				NY_STATE,
NewYorkStateDMV				NEW_YORK_STATE_DMV,New_York_State_Dmv,
NewYorkStateTaxes			NYS_TAX_&amp;_FINANC_PIT_PYMT,NYS_TAX_&_FINANC_PIT_PYMT,
NicorGas				NCO*NICOR_GAS,NORTHERN_ILLINOI_PAYMENT,Nicor_Gas,NICOR/NCO,
Nintendo				NINTENDO_WII,
NoodlesAndCo				NOODLES_&_CO,NOODLES__CO,NOODLES,NOODLESCO,Noodles_&_Co,
NorthForkBank				NORTH_FORK_BANK,
NorthernPond				NORTHERN_POND,
Novecento				Novecento,
Ntrigue					NTRIGUE_OF_NEW_YORK,NTRIGUE_OF_PT_JEFFERSO,Ntrigue_Hair_Studio,
NtrigueHairStudio			NTRIGUE_HAIR_STUDIO,
NussbaumAndWu				Nussbaum_&_Wu_Bakery,Nussbaum_&_Wu,
OBriensPub				OBRIENS_PUB_&_GRILL,
OChaTeaBar				O_CHA_TEA_BAR,
ORB					MC-ORB_AP190101VGV4HQE3,ORB_8KPU3U__XXXXXXXXXXXXXXXXXXXXXXXXXXXX,
OTGManagementJFK			OTG_MANAGEMENT_JFK,
OTGManagementTuscon			OTGMANAGEMENTTUCSON,OTG_MANAGEMENT_T8,
OUTGOING_DOMESTIC_WIRE_FEE		OUTGOING_DOMESTIC_WIRE_FEE,
OakRidgeAssociatedUniversities		OAK_RIDGE_ASSOCIATED_U,
OakStreetBeachCade			OAK_STREET_BEACH_CAFE,
OberweisDairy				OBERWEIS_DAIRY,
ObriensRestaurant			Obriens_Restaurant,
Oceans5Seafood				OCEANS_5,
OceansPizzeria				OCEANS_PIZZERIA,
OfficeMax				OFFICE_MAX,
OhareAirport				COC_O'HARE_--A_B_C_LOT,O'HARE_--_A_B_C_LOT,
OilXchange				OIL_XCHANGE,Oil_Xchange_Of_Warrenv,
OldNavy					OLD_NAVY,
OlliesNoodleShop			OLLIES_NOODLE_SHOP,Ollies_Noodle,
OlympicNews				OLYMPIC_NEWS,
OnTheBorder				ON_THE_BORDER,
OnTheRocks				ON_THE_ROCKS,
OneStepAhead				ONESTEPAHEAD_LEAPSBNDS,
OnlySki					ONLY_SKI,
OpenRange				OPEN_RANGE_AMERICA,
OpeningBalance				Opening_Balance,
OshKosh					OSH_KOSH,OSHKOSH,
OswaldsPharmacy				OSWALD'S_PHARMACY,
Outback					OUTBACK,Outback,
P&C					P_&_C,
PBAleHouse				PB_ALE_HOUSE,
PJCinemas				PJ_CINEMAS,Pj_Cinemas,
PJClarkes				P.j._Clarkes_At_Li,
PJVillageGrocery			P_J_VILLAGE_GROCERY,P_J_Village_Grocery,VILLAGE_GROCERY,
PacificaSuites				Pacifica_Suites,
PacosTacos				Pacos_Tacos,
PagliaciPizza				PAGLIACI_PIZZA,
PalJoeys				Pal_Joeys_West,
Palomino				PALOMINO,
PancherosMexicanGrill			PANCHERO'S_MEXICAN_GRI,
PanchoVillas				Pancho_Villas-huntingt,
PandaExpress				PANDA_EXPRESS,Panda_Express_1015_Qae,
PaneraBread				ST_LOUIS_BREAD,PANERA_BREAD,Panera_Bread,
PaninoSportivo				Panino_Sportivo,
PapaJohns				PAPA_JOHNS,PAPA_JOHN'S,Papa_Johns,PAPAJOHNS,
Paradies				PARADIES,
ParadiseBakery&Cafe			PARADISE_BAKERY&CAFE,
ParkGateParking				PARK_GATE_PARKING_INC,
PaulVandeWater				PaulVandeWater,
PavilionIndian				PAVILION_INDIAN_CUISIN,
PeachesNaturalYogurt			PEACHES_NATURAL_YOGU_254,
PearleVision				PEARLE_VISION,
PediatricCardiology			PEDIATRIC_CARDIOLOGY_O,
PeeryHotel				Peery_Hotel,
PeetsCoffee				PEET'S,PEETS,
PekingUniversity			PEKING_UNIVERSITY,
PelanchosMexicanGrill			PELANCHOS_MEXICAN,
PentagonCity				1000_S_HAYES/1000_S_HAYE,
PenzeysSpices				PENZEYS_SPICES,
PetersonSpirits				PETERSON_SPIRITS_&_FIN,
Phils					Phil's_At_Judge's_Hote,
Piccolo					PICCOLO_SAN_BERNARDO,
PilgrimMonument				Pilgrim_Monument_And_P,
Pinkberry				Pinkberry-,PINKBERRY-2873BROADWAY,
Pinnacle				MC-PINNACLE,
PitaHouse				PITA_HOUSE,
PittsburghBagalFactory			PITTSBURGH_BAGEL_FACTO,
PizzaHut				PIZZA_HUT/SALSARITAS,
PizzeriaUno				PIZZERIA_UNO,
PlanesMovingAndStorage			PlanesMovingAndStorage
Polo					POLO,
Popeyes					POPEYES,POPEYE'SCHICKEN&BISQQP,Popeyes_Oh-tpk11240q19_Amherst_Oh,
PortJeffFerry				BRIDGEPORT_&_PORT_JEFF,Bridgeport_&_Port,
PortJeffersonBeverage			PORT_JEFFERSON_BEVERAG,Port_Jefferson_Beverag,PORT_JEFF_BEVERAGE_PORT,PORT_JEFF_BEVERAGE,
PortJeffersonFrigate			Port_Jefferson_Frigate,
PortageShell				PORTAGE_SHEL/6259_MELTON,
PortoBello				PORTO_BELLO_RISTORANTE,
PostalSavings				POSTAL_SAVINGS(215700)AICHI,
Potbelly				POTBELLY,Potbelly,
PotteryBarn				POTTERY_BARN,
PotteryBarnTeen				PB_TEEN_E-COMMERCE,
PotteryBayou				Pottery_Bayou,
PremiereClasse				PREMIERE_CLASSE,
Priceline				PRICELINE.COM,Pln*priceline.com_Air_800-340-0575_Ct,
PrimierTitle				PrimierTitle
PrincessByMomBoutique			PRINCESS_BY_MOM_BOUTIQ,
PriyaIndian				PRIYA_INDIAN,Priya_Indian,
PrizmBehavioral				PRIZM_BEHAVIORAL,
ProHealth				ProHealth,PROHEALTH,
PublicStorage				Public_Storage,
PumaOutletStore				The_Puma_Outlet_Store,THE_PUMA_OUTLET_STORE,PUMA_INC,
PumpItUp				PUMP_IT_UP,
Qdoba					QDOBA,Qdoba,
QuestDiagnostic				QDI*QUEST_DIAGNOSTIC_866,
QuickCenter				QUICK_CENTER,
Quiznos					QUIZNOS,QUIZNO'S,Quiznos_Sub,
R2F5579EXKI_2F_1			R2F5579EXKI_2F_1,
REI					REI_138_CARLE_PLACE,
REMOTE_ONLINE_DEPOSIT			REMOTE_ONLINE_DEPOSIT,
REVERSE_DEBIT_CARD_PROVISIONAL_CREDIT	REVERSE_DEBIT_CARD_PROVISIONAL_C,
RadioPerfecto				RADIO_PERFECTO,Radio_Perfecto,
RadioShack				RADIOSHACK,
RadissonHotel				RADISSON_HOTELS,
RailEurope				RAIL_EUROPE,
Ralphs					RALPHS,
RealMacSoftware				DRI*REALMAC_SOFTWARE,
RedBox					REDBOX,
RedBubble.com				REDBUBBLE.COM,
RedCross				AM_RED_CROSS_DONATION,
RedDoorTavern				RED_DOOR_TAVERN,
RedHarkBar&Grill			RED_HAWK_BAR_&_GRILL,
RedMango				RED_MANGO,Red_Mango,
RedRobin				RED_ROBIN,Red_Robin,
RedRoofInn				RED_ROOF_INNS,Red_Roof_Inns,
RegalCinemas				REGAL_CINEMAS,REGAL_CANTERA_30,REGAL_PINNACLE,STONY_BROOK___07021,Stony_Brook___07021,
Relay4152Midway				RELAY_4152,
RenaissanceHotels			RENAISSANCE_HOTELS_F/B,
ResidenceInn				RESIDENCE_INNS,
ReyesTung				REYES_TUNG,
RezaOnOntario				MC-REZA'S_ON_ONTARIO,
RibCityAleHouse				RIB_CITY_ALE_HOUSE_PORT,
RidgeOil				RIDGE_PETROLEUM,
RistoranteKingsCafe			RISTORANTE_KING'S_CAFE,
RiteAid					RITE_AID,Rite_Aid,
RiverplaceRealty			RiverplaceRealty
Riverside				Online_Payment_3352458789_To_Riv,
RiversidePsychiatric			RIVERSIDE_PSYCHIATRIC,
RiverwalkPizza				RIVERWALK_PIZZA,
RobertMowinney				RobertMowinney
RochambeauWinesAndLiquors		ROCHAMBEAU_WINES_AND_L,
RockBottom				ROCK_BOTTOM,RB-WARRENVILLE,Rock_Bottom,
RomaDs					ROMA_D'_ITALIA,Roma_D',
Romios					ROMIO'S,
RotiRolls				Suite_Roti_Rolls,SUITE_ROTI_ROLLS,
Ruby					RUBY,
RubyTuesdays				Ruby_Tuesday_2227,Ruby_Tuesday_7174,
RutgersAthletics			Rutgers_Athletics,
RuthHitSomeonesTailight			RuthHitSomeonesTailight
SLACCafe				EPICUREAN@SLAC_CAFE,EPICUREAN_GROUP,
SLACGuestHouse				STANFORD_GUEST_HOUSE,STANFORD_SLAC_CONF_01,
SPAQMontreal				SPAQ_/_BIBLIOTHEQUE_NA,
Safeway					SAFEWAY,
SalsaSalsa				SALSA_SALSA,Salsa_Salsa,
SamGol					SAM_GOL,
Samsonite				SAMSONITE,
SanDiegoZoo				SD_ZOO_-ALBERTS,SD_ZOO_-CANYON_CAFE,SD_ZOO_-SYDNEYS/FS,SD_ZOO_-ZOO_STORE,
SangamRestaurant			SANGAM_RESTAURANT,
SaraHiggins				SARA,
Sbarro					SBARRO,
ScarecrowVideo				SCARECROW_VIDEO,
SchenkQuickStop				SCHENCK_QUICK_STOP,
ScholasticBookClub			SCHOLASTIC_BOOK_CLUB,
SchwartzOBGYN				SchwartzOBGYN
ScottLantz				SCOTT_LANTZ,
Sears					SEARS,
SeasideCafe				Seaside_Cafe,
SeattlesBestCoffee			SEATTLES_BEST_COFFEE,
Seaworld				SEAWORLD-CA_6192253284,SEAWORLD_CA_6192253QPS,
SecondCup				SECOND_CUP,
Seiko					Seiko-the_Company_Stor,
SellMyTimeShareNow			Sell_My_Time_Share,
SequenomMolecular			SEQUENOM_MOLECULAR,
ServiceDirectionsInc			Service_Directions_Inc,
SetauketVillageDiner			Setauket_Village_Diner,
SezzMedi				SEZZ_MEDI,Sezz_Medi,
ShadeClothing				SHADECLOTHING.COM,
ShawnMBolgerLtd				ShawnMBolgerLtd
SheddAquarium				SHEDD_AQUARIUM,JOHN_G_SHEDD_,
ShellOil				SHELL_OIL,SHELL_FJ_ACCESS_NAPIER,Shell_Oil,
ShellWarehouse				SHELL_WAREHOUSE,
Shopzoo.com				SHOPZOO.COM,
Shultzys				SHULTZY'S_SAUSAGE,
ShuttleExpress				SHUTTLE_EXPRESS,
SierraTradingPost			SIERRA_TRADING_POST,SIERRA_TRADING_POST_CO,
SilverStateFoodMart			SILVER_STATE_FOOD_MART,
SimplyGourmet				SIMPLY_GOURMET,
SivanaSalon				SIVANA_SALON,
Skechers				Skechers-usa,
SloppyJoesBar				SLOPPY_JOE'S_BAR,
SmithtownToyota				SMITHTOYOTA,Smithtoyota_6317243300,
SoYouThinkYouCanDance			Tm_*So_You_Think_You_C_212-307-7171_Ny,
SocieteDeVeloEnLib			SOCIETE_DE_VELO_EN_LIB,
SoftAsAGrape				SOFT_AS_A_GRAPE,Soft_As_A_Grape_Hyanni,
SoldierField				SOLDIER_FIELD,
Solstice				CAFE_SOLSTICE,
SoundCatering				SOUND_CATERING,
Southwest				SOUTHWES,Southwes,
Spartys					MC-MSU_SPARTYS_DCL_2226,
SpatsBar				Spats_Bar,
Speedway				SPEEDWAY,Speedway,
Split					Split,
Sportograph				Sportograph
SportsScene				SPORTS_SCENE_T10196657,
StElmosCoffee				ST_ELMOS_COFFEE,ST._ELMOS_COFFEE,
StJudes					ST_JUDE_INTERNET_DNTN,St_Jude_Research_Hospi_800-8226344_Tn,
StarMarket				Star_Market,
Starbucks				STARBUCKS,STARUBUCKS,Starbucks,
StateFarm				STATE_FARM_INSURANCE,STATE_FARM_RO_08,
StateOfIllinois				State_of_Ill,
SterlingPear				STERLING_PEAR,
SteveMadden				STEVE_MADDEN,
StirCrazy				STIR_CRAZY,Stir_Crazy,
StonyBrookCosmeticDentistry		SB_GEN_COSMETIC_DENTIS,STONY_BROOK_COSMETIC_D,
StonyBrookFamilyMedice			STONYBROOK_FAMILY_MED,
StonyBrookStudentAffairsCenter		SBU_SAC,
StonyBrookTickets			TICKETS*_SBU,
StonyBrookUniversity			StonyBrookUniversity,
StonyBrookUniversityHospital		SBU_UNIVERSITY_HOSPITA,
StonybrookChildrensHospital		STONYBROOK_CHILDRENS,
StopAndShop				STOP_&_SHOP,Stop_&_Shop,
StopLiquors				STOP_1_LIQUORS,
StrideRite				STRIDE_RITE,
SuCasa					SU_CASA,
Sublet.com				SUBLET.COM,
SubsConscious				SUBCONSCIOUS,SUBSCONSCIOUS,Subconscious,
SuburbanMaternalFetalMedicine		SUBURBAN_MATERNAL_FETA,
Subway					SUBWAY,Subway,
SuffolkOBGYN				SUFFOLK_OBGYN_LLP,Suffolk_Obgyn_Llp,
SugarCafe				Sugar_Cafe,
SunCorners				Sun_Corners_Service_Ce,
SunkenMeadowStatePark			SUNKEN_MEADOW_STATE_PA,
Sunoco					Sunoco_Svc_Station_E_Brunswick_Nj,
SunocoOil				SUNOCO,
SunriseQ17Gas				Amittyville_Sunriseq17,
SuperLube				SUPERLUBE,SUPER_LUBE_OF_WARRENVI,
SuperShuttle				SUPERSHUTTLE-EXECUCART,SUPERSHUTTLE_EXECUCARS,SUPERSHUTTLE_EXECUCARB,
SuperShuttleMN				SUPERSHUTTLE_EXECUCARM,
SurLaTable				SUR_LA_TABLE_NAPERVILL,55_S_MAIN_ST_STE_119,
Sura					Sura,SURA,
SweetMariasCoffee			Sweet_Maria's_Coffee_I_8888765917_Ca,
SymantecSony				DR_*SYMANTEC_SONY,
SyracuseUniversity			SYR*UNIV-PHYSICSCONF,
SysParkingLemoy				SYSPARKING_LEMOY,
T1MedalistBarJFK			T1_MEDALIST_BA10430QPS,
TGIFridays				Tgi_fridays,
TIAACashContribution			TIAACASHContribution,
TIAACashDividends			TIAACASHDividends,
TIAACashLongTermCapitalGains		TIAACASHLong-term_capital_gains,
TIAACashShortTermCapitalGains		TIAACASHShort-term_capital_gains,
TIBMercerSt				Tib-mercer_St.,
TJMaxx					TJMAXX,
TRANSACTION_FEE				TRANSACTION_FEE,
TacoBell				TACO_BELL,Taco_Bell,
TacoBron				TACO_BRON,
TaisRestaurant				TIAS_RESTAURANT_&_BAR,
Talbots					TALBOTS,
Tamomaro				TAMOMARO,
TampaMindWorks				201_TAMPA_MINDWORKS,
TangoAngentinean			TANGO_ARGENTINEAN,
Target					TARGET,Target,28201_DIEHL_RD,
TastyWok				TASTY_WOK,
TaxProducts				TAX_PRODUCTS_PE1_SBTPG_LLC,TAX_PRODUCTS_PE4_SBTPG_LLC,
TaxiMagic				TAXI_MAGIC,
TeaCollection				TEA_COLLECTION,
TeaRoom					Tea-Room_Martel_Aeropo,
TeachersCreditUnion			TEACHERS_CU,
TedsMontanaGrill			Ted's_Montana_Grill,TMG051_CHICAGO,Tmg,
ThaiVillage				THAI_VILLAGE,
TheBlackDog				THE_BLACK_DOG_CHAT_GS,
TheBreadFactoryCafe			THE_BREAD_FACTORY_CAFE,
TheCantina				THE_CANTINA,
TheCasualGourmet			THE_CASUAL_GOURMET,
TheCheeseShop				The_Cheese_Shop,
TheChristmasTreeStore			CHRISTMAS_TREE,
TheCornellStore				THE_CORNELL_STORE,
TheFamishedFrog				The_Famished_Frog,
TheGroveChicago				THE_GROVE-CHICAGO,
TheHalfPint				The_Half_Pint,
TheHookerTeaCompany			THE_HOOKER_TEA_COMPANY,
TheLandOfNod				THELANDOFNOD,THE_LAND_OF_NOD,
TheMeltingPot				THE_MELTING_POT,The_Melting_Pot,
TheMilburnHotel				THE_MILBURN_HOTEL,
TheNatureConservatory			The_Nature_Consvncy_Na_7038418764_Va,
TheOldGrapeCellar			THE_OLD_GRAPE_CELLAR,
TheOliveGarden				THE_OLIVE_GARD00015073,The_Olive_Gard00011353,The_Olive_Gard00015073,
ThePie					THE_PIE,The_Pie,
ThePortShop				THE_PORT_SHOP,
TheRepublicOfTea			THE_REPUBLIC_OF_TEA,
TheSecondLandingCafe			THE_SECOND_LANDING_CAF,
TheSoupKitchen				THE_SOUP_KITCHEN,
TheSportsAuthority			THE_SPORTS_A/301_SOUTH_R,
TheVillageWay				The_Village_Way,THE_VILLAGE_AT_SQUAW_U,
TheraProInc				THERAPRO_INC,
TicketMaster				TICKETMASTER,Tm_*Ticketmaster_Inter_215-336-2000_Ny,
Tiffany&Co				TIFFANY_&_CO,
TimHortons				TIM_HORTONS,
Timberland				TIMBERLAND,Timberland,
TitleNine				TITLE_NINE,
Toast					Toast_,Toast,TOAST,
